link,text,title,type
http://www.juzizhai.com/ju/2455.html,我会在没有人的暗夜深深检讨自己的缺憾。但我不愿在众目睽睽之下，把自己像次品一般展览。——毕淑敏《关于人生的沉思》我喜欢爱读书的女人。书不是胭脂，却会使女人心颜常驻。书不是棍棒，却会使女人铿锵有力。书不是羽毛，却会使女人飞翔。书不是万能的，却会使女人千变万化。——毕淑敏是的。我很..,毕淑敏经典歌词_毕淑敏经典语录,名人名言
http://www.juzizhai.com/ju/2750.html,1、父母把孩子养下来，无论发生什么事，必需负责到底，孩子们并没有要求被生下来，因此他们永远占着上风，开头就是父母的错。——亦舒《两个女人》2、世上所有婚姻其实均是盲婚，知人口面不知心，在一起走三两年又有何了解。——亦舒3、知己知彼，百战百胜，不会做的事，不要做。——亦舒《..,亦舒经典语录100句,名人名言
http://www.juzizhai.com/ju/2756.html,其实人生的聚散本来在乎一念之间，不要说是活着分离，其实连死也不能隔绝彼此的爱，死只是进入另一层次的生活，如果这么想，聚散无常也是自然的现象，实在不需太过悲伤。——三毛《梦里花落知多少》如果有来生，我要做一棵树，站成永恒，没有悲欢的姿势。一半在土里安详，一半在风里飞扬，一半洒落阴凉，一半沐..,三毛经典语录,名人名言
http://www.juzizhai.com/ju/3146.html,1.很清楚，前途并不属于那些犹豫不决的人，而是属于那些一旦决定之后，就不屈不挠不达目的誓不罢休的人。&nbsp&nbsp&nbsp&nbsp——罗曼·罗兰2.人们宣扬的一切道德家庭的道德，社会的道德，只有失掉了利己主义才是美好的，只有在为了过分人道的亲爱者——好儿女或好配偶——而牺牲了自己神圣的思想时才是美好的！&nbsp&nb..,罗曼·罗兰 名人名言,名人名言
http://www.juzizhai.com/ju/3145.html,1.读了一本书，就像对生活打开了一扇窗户。&nbsp&nbsp&nbsp&nbsp——高尔基2.只有人的劳动才是神圣的。&nbsp&nbsp&nbsp&nbsp——高尔基3.科学是一种强大的智慧的力量，它致力于破除禁锢着我的神秘的桎梏……&nbsp&nbsp&nbsp&nbsp——高尔基4.死亡对于思想就像一个捡破烂的女人，她徘徊在房前屋后墙角路旁，把破旧腐烂无用..,高尔基名人名言,名人名言
http://www.juzizhai.com/ju/3143.html,1.把“德性”教给你们的孩子：使人幸福的是德性而非金钱。这是我的经验之谈。在患难中支持我的是道德，使我不曾自杀的，除了艺术以外也是道德。&nbsp&nbsp&nbsp&nbsp——贝多芬2.划分天才和勤勉之别的界线迄今尚未能确定——以后也没法确定。&nbsp&nbsp&nbsp&nbsp——贝多芬3.苦难是人生的老师。通过苦难，走向欢乐。&nbs..,贝多芬 名人名言,名人名言
http://www.juzizhai.com/ju/3142.html,1.不害相思，幸福就没你的份。把爱情赶出了生活，你就赶出欢乐。一帆风顺的爱情，其实寡味。&nbsp&nbsp&nbsp&nbsp——莫里哀2.对于聪明人来说，劝告是多余的；对于愚昧人来说，劝告是不够的。&nbsp&nbsp&nbsp&nbsp——莫里哀2.爱情是一位伟大的导师，她教我们重新做人。&nbsp&nbsp&nbsp&nbsp——莫里哀3.谄媚者的艺术是：..,莫里哀 名人名言,名人名言
http://www.juzizhai.com/ju/3140.html,1.铭刻在心：每一天都是一年中最好的日子。&nbsp&nbsp&nbsp&nbsp——爱默生2.上帝为每个人灵魂提供了选择机会：或是拥有真理，或是得到安宁。你可以任选其一，但不能兼而有之。&nbsp&nbsp&nbsp&nbsp——爱默生3.家庭是父亲的王国，母亲的世界，儿童的乐园。&nbsp&nbsp&nbsp&nbsp——爱默生4.思想是会享用它的人的财产。&n..,爱默生 名人名言,名人名言
http://www.juzizhai.com/ju/3139.html,,关于奋斗的名人名言大全,名人名言
http://www.juzizhai.com/ju/3138.html,1.科学是实事求是的学问，来不得半点虚假。&nbsp&nbsp&nbsp&nbsp——华罗庚2.科学是老老实实的学问，搞科学研究工作就要采取老老实实、实事求是的态度，不能有半点虚假浮夸。不知就不知，不懂就不懂，不懂的不要装懂，而且还要追下去，不懂，不懂在什么地方；懂，懂在什么地方。老老实实的态度，首先就是要扎扎实实地打好..,华罗庚 名人名言,名人名言
